,id,a1,a2,label,topic,new_topic_id
45,2127_2117,"in many cases it destroys the communities around the casinos, making crime the only option for many people there",we should ban gambling because it brings in large sums of money for groups that often commit other crimes like prostitution and drug trafficking.,a2,Gambling should be banned,1
46,2117_2128,we should ban gambling because it brings in large sums of money for groups that often commit other crimes like prostitution and drug trafficking.,the gambler is hurting not only himself but his family and friends who have to deal with bursts of rage and incompetency or loaning him money,a1,Gambling should be banned,1
47,2098_2082,"irregardlessly of choice, because of the addictive nature of those places many people are going to lose all of their money, and create much more harms to them and to the society that supports them","gambling is often a ""gateway drug"" to criminal activities, as it often exposes individuals to criminals indulging it as well as leaves them in great debt, desperate for money through whatever means possible.",a2,Gambling should be banned,1
48,2081_2112,"legal gambling let the population believe that gambling is fine. given this, it is hard to cross the line when gambling start to be harmful. hence, people are much more likely to practice harmful gambling.","casinos are made to make you an addict from the moment you get in. like a drug, when you start using it you don't have a real choice to stay or leave",a2,Gambling should be banned,1
49,2110_2129,"in many countries, gambling managers are criminal organizations. the money they earn causes more crime, more money for weapons and drugs in the region.",gambling is addictive because of the sunken sum effect and so people are not rational when thay decide to gamble and we have the right to choose for them.,a1,Gambling should be banned,1
50,2130_2117,we should ban gambling because it is a tax on those who are less educated and can least afford to pay their gambling debts.,we should ban gambling because it brings in large sums of money for groups that often commit other crimes like prostitution and drug trafficking.,a2,Gambling should be banned,1
51,2131_2132,gambling is a tool for people to launder money,gambling often becomes an addiction that can not be controlled.,a2,Gambling should be banned,1
52,2133_2134,the addictive character of the games eliminates the choice of avoiding it due to its very likely bad outcomes.,we should ban gambling because it preys on people with addictions to make a few wealthy casino owners richer.,a2,Gambling should be banned,1
53,2085_2135,"a gambler who is on a losing streak is likely to develop dependency on gambling because he must play another round so he can win his money back, clouding his judgment and free choice","gambling is addictive, and means that people lose more and more money, regardless of whether they initially succeed and want more money, or lose and have to make up for these losses",a2,Gambling should be banned,1
54,2120_2136,we should ban gambling because according to most moral and ethical frameworks it is wrong to take advantage of people like casinos do.,"gambling is addictive, and people need to be protected by the state from decisions they don't really make themselves",a2,Gambling should be banned,1
55,2090_2136,"the damage is mainly to poor people, whom can lose their house and entire savings","gambling is addictive, and people need to be protected by the state from decisions they don't really make themselves",a2,Gambling should be banned,1
56,2126_2135,"gambling creates irrational choices for people. it makes it very hard to leave,highly focuses on chances of winning and hope and thus means that people cant make a rational choice here which is bad","gambling is addictive, and means that people lose more and more money, regardless of whether they initially succeed and want more money, or lose and have to make up for these losses",a2,Gambling should be banned,1
57,2137_2114,"gambling can be highly addictive, therefore people lose their ability to choose how to spend their money","people not only hurt themselves by gambling, but also their family. because of the negative externalities it should be banned.",a2,Gambling should be banned,1
58,2132_2138,gambling often becomes an addiction that can not be controlled.,some people spend a lot of their money on gambling and go into debt.,a1,Gambling should be banned,1
59,2091_2139,"gambling is a situation of incomplete data and people can't know their winning percentage, therefore the decision to gamble is not informed","gambling is inherently built to create addictions – by the social manner of the games, promises for a potential major success, time-wasting designed atmosphere etc.",a2,Gambling should be banned,1
60,2140_2141,gambling cause addiction and always wants that you seek your money loses,gambling addiction is a real and serious problem that cannot be solved until gambling is banned,a2,Gambling should be banned,1
61,2112_2142,"casinos are made to make you an addict from the moment you get in. like a drug, when you start using it you don't have a real choice to stay or leave","gambling create a mindset that prefer luck on skills, it will make gamblers life harder to get out of it. they have the habit to look the easy way",a1,Gambling should be banned,1
62,2143_2144,people is not getting richer with gambling but poorest,gambling is one of the most unproductive human behaviors,a2,Gambling should be banned,1
63,2141_2090,gambling addiction is a real and serious problem that cannot be solved until gambling is banned,"the damage is mainly to poor people, whom can lose their house and entire savings",a1,Gambling should be banned,1
64,2087_2118,gambling hurts not only the gambler but also their families when money that could have gone to helping them is spent recklessly instead.,we should ban gambling because no one who was well informed of the way gambling works would ever choose to gamble without emotional manipulation.,a1,Gambling should be banned,1
65,2140_2089,gambling cause addiction and always wants that you seek your money loses,gambling affects asymmetrically people from a disadvantaged socioeconomic background and create less equality of opportunities for them,a2,Gambling should be banned,1
66,2113_2145,"all the people that suffer harshly from gambling - the heavy gamblers, started small. legal gambling leads to much more people starting small and eventually deteriorate to heavy gambling","optimism bias means that people do not make a genuine choice. it is much easier and more published to think that they'll win, when the chances are always against them.",a1,Gambling should be banned,1
67,2142_2102,"gambling create a mindset that prefer luck on skills, it will make gamblers life harder to get out of it. they have the habit to look the easy way","gambling is highly addictive, causing a rush of adrenaline with every game, and might even cause people to put more and more of their money in risk, eventually destroying their life",a2,Gambling should be banned,1
68,2088_2130,gambling is inherently unfair because it plays on people believing they could win while the reality is very unlikely.,we should ban gambling because it is a tax on those who are less educated and can least afford to pay their gambling debts.,a2,Gambling should be banned,1
69,2136_2101,"gambling is addictive, and people need to be protected by the state from decisions they don't really make themselves",gambling machines like slots often occupy public spaces where people who didn't specifically go to a casino get dragged into them.,a1,Gambling should be banned,1
70,2146_2109,"gambling promotes unhealthy values of materialism and focus on money instead of family, friendships, and hard work.",gangs and crime organisations own a great share of the profits from gambling. this enables their criminal activity.,a2,Gambling should be banned,1
71,2118_2134,we should ban gambling because no one who was well informed of the way gambling works would ever choose to gamble without emotional manipulation.,we should ban gambling because it preys on people with addictions to make a few wealthy casino owners richer.,a2,Gambling should be banned,1
72,2139_2120,"gambling is inherently built to create addictions – by the social manner of the games, promises for a potential major success, time-wasting designed atmosphere etc.",we should ban gambling because according to most moral and ethical frameworks it is wrong to take advantage of people like casinos do.,a1,Gambling should be banned,1
73,2147_2090,"gambling is addictive, when the state keeps it legal and collects taxes it encourages addicting behavior in it's citizens.","the damage is mainly to poor people, whom can lose their house and entire savings",a1,Gambling should be banned,1
74,2083_2124,gambling specifically exploits the poor that have less disposable income by advertising in poorer communities and promising large rewards.,"gambling effects mainly poor people and hurts them, their families and their neighborhoods to a great extent",a1,Gambling should be banned,1
75,2086_2139,"the social costs of gambling impacts society as a whole by destroying careers, families, and economic trickle down when money spent on gambling doesn't get spent on other things.","gambling is inherently built to create addictions – by the social manner of the games, promises for a potential major success, time-wasting designed atmosphere etc.",a1,Gambling should be banned,1
76,2143_2084,people is not getting richer with gambling but poorest,gambling is an addiction similar to hard drugs that we ban for people's protection.,a2,Gambling should be banned,1
77,2139_2145,"gambling is inherently built to create addictions – by the social manner of the games, promises for a potential major success, time-wasting designed atmosphere etc.","optimism bias means that people do not make a genuine choice. it is much easier and more published to think that they'll win, when the chances are always against them.",a1,Gambling should be banned,1
78,2133_2148,the addictive character of the games eliminates the choice of avoiding it due to its very likely bad outcomes.,casinos prey on people's desire for money and belief in luck by lying and exaggerating potential for success.,a2,Gambling should be banned,1
79,2099_2093,"psychologically, gambling is highly addictive, and it costs lots of money when you play for prolonged periods of time. given that, it makes people irrationally lose their savings and should therefore be banned, like drugs.","given the high stakes and shady nature of gambling, casinos are almost inherently linked with crime organizations. when more of them are open, more money flows into the wrong hands.",a1,Gambling should be banned,1
80,2149_2085,"people assume they can control themselves, they start gambling and don't realize the problem till they are addicted and it's too late, we need to ban it so that it can't get to that point.","a gambler who is on a losing streak is likely to develop dependency on gambling because he must play another round so he can win his money back, clouding his judgment and free choice",a1,Gambling should be banned,1
81,2099_2150,"psychologically, gambling is highly addictive, and it costs lots of money when you play for prolonged periods of time. given that, it makes people irrationally lose their savings and should therefore be banned, like drugs.","gambling is a drug. it overwhelms people's ability to resist. beyond that, the whole thing is false advertising. the odds are so stacked against people but the gambling houses make wealth seem assured.",a1,Gambling should be banned,1
82,2151_2084,gambling is an immoral act forbidden by many religions.,gambling is an addiction similar to hard drugs that we ban for people's protection.,a2,Gambling should be banned,1
83,2101_2139,gambling machines like slots often occupy public spaces where people who didn't specifically go to a casino get dragged into them.,"gambling is inherently built to create addictions – by the social manner of the games, promises for a potential major success, time-wasting designed atmosphere etc.",a2,Gambling should be banned,1
84,2134_2116,we should ban gambling because it preys on people with addictions to make a few wealthy casino owners richer.,"gambling is addictive because of the sunken sum effect, and so almost always present a much more significant damage than a single game.",a1,Gambling should be banned,1
85,2114_2101,"people not only hurt themselves by gambling, but also their family. because of the negative externalities it should be banned.",gambling machines like slots often occupy public spaces where people who didn't specifically go to a casino get dragged into them.,a1,Gambling should be banned,1
86,2091_2130,"gambling is a situation of incomplete data and people can't know their winning percentage, therefore the decision to gamble is not informed",we should ban gambling because it is a tax on those who are less educated and can least afford to pay their gambling debts.,a2,Gambling should be banned,1
87,2152_2151,"casinos bring crime and prostitution, which is bad for the surrounding area.",gambling is an immoral act forbidden by many religions.,a1,Gambling should be banned,1
88,2128_2110,the gambler is hurting not only himself but his family and friends who have to deal with bursts of rage and incompetency or loaning him money,"in many countries, gambling managers are criminal organizations. the money they earn causes more crime, more money for weapons and drugs in the region.",a2,Gambling should be banned,1
89,2141_2088,gambling addiction is a real and serious problem that cannot be solved until gambling is banned,gambling is inherently unfair because it plays on people believing they could win while the reality is very unlikely.,a1,Gambling should be banned,1
90,2153_2154,there is a market failure that causes people to gamble and waste money on zero sum games and the government should break this and prevent dead loss by creating more productive alternatives like equivalent entertainment,"gambling is super addictive to some people. addicted people and practically not free to choose avoiding the gamble. since they are not free to protect themselves, the state should do it.",a2,Gambling should be banned,1
91,2122_2093,"gambling is a wast of money, from the first dollar. the government should help people invest their money in beneficial channels and not wast it for nothing.","given the high stakes and shady nature of gambling, casinos are almost inherently linked with crime organizations. when more of them are open, more money flows into the wrong hands.",a2,Gambling should be banned,1
92,2094_2104,"even winning is bad. those who win don't know what to do with their money, are likely to spend it quickly on new things, and are volunurable to scummers, so eventually they are more harmed.","gambling is mostly done by poor people who don't understand just how unlikely it is to win, specificaly this group is in most need of the money they have, so gambling harms them greately.",a2,Gambling should be banned,1
93,2101_2147,gambling machines like slots often occupy public spaces where people who didn't specifically go to a casino get dragged into them.,"gambling is addictive, when the state keeps it legal and collects taxes it encourages addicting behavior in it's citizens.",a2,Gambling should be banned,1
94,2147_2091,"gambling is addictive, when the state keeps it legal and collects taxes it encourages addicting behavior in it's citizens.","gambling is a situation of incomplete data and people can't know their winning percentage, therefore the decision to gamble is not informed",a1,Gambling should be banned,1
95,2121_2095,"gambling preys on the poorest people, and when these people get addicted and lose their money this has very harmful consequences for their families. they can lose their house, or not have money for food","gambling is especially pernicious in areas with low socioeconomic status, as it provides an easy form of escapism for poorer individuals. those are the instances in which people lose everything they have, which is bad.",a2,Gambling should be banned,1
96,2145_2082,"optimism bias means that people do not make a genuine choice. it is much easier and more published to think that they'll win, when the chances are always against them.","gambling is often a ""gateway drug"" to criminal activities, as it often exposes individuals to criminals indulging it as well as leaves them in great debt, desperate for money through whatever means possible.",a2,Gambling should be banned,1
97,2105_2115,"it brings people to enormous debts because gambling is made so that it is unlikely for the participant to win, which makes them suffer and fail to continue living a healthy life.","many people who have debts go to gamble because they think it's their only chance to get the money back, and owe money to the casino, and get into the crime world because of that",a1,Gambling should be banned,1
98,2155_2156,gambling is an addiction if thay will ban they will reduce the chances of people gambling and thus the amount of addicts,"we should ban gambling because there is no democratic will for introducing it in most areas where it is banned, unless the public is manipulated by would-be casino owners.",a1,Gambling should be banned,1
99,2157_2158,the addictive manner of gambling may affect the ability of one to maintain a proper routine like having a regular job. this may affect third-parties like the gamers family.,"gambling is extremily exciting in a way that makes other important activties, such as spending time with famlit and working, seem dull, thus hurting the gambler",a1,Gambling should be banned,1
100,2129_2092,gambling is addictive because of the sunken sum effect and so people are not rational when thay decide to gamble and we have the right to choose for them.,"gambling is capable of driving people into debts (by making them lose several times straight) and so damaging their buying power, halting the economy.",a2,Gambling should be banned,1
101,2159_2134,gambling is morally wrong; people take their hard earned money and spend it on something without any real value.,we should ban gambling because it preys on people with addictions to make a few wealthy casino owners richer.,a2,Gambling should be banned,1
102,2160_2101,"when cannot afford losing, the urge to pay debts back may lead you to request the help of illegitimate factors such as the black market.",gambling machines like slots often occupy public spaces where people who didn't specifically go to a casino get dragged into them.,a1,Gambling should be banned,1
103,2151_2161,gambling is an immoral act forbidden by many religions.,"gambling is not an activity one does out of free will, but rather out of addiction",a2,Gambling should be banned,1
104,2162_2089,"gambling cause more harm then good, it sellls dreams to people and only cause them to lose money",gambling affects asymmetrically people from a disadvantaged socioeconomic background and create less equality of opportunities for them,a2,Gambling should be banned,1
105,2099_2135,"psychologically, gambling is highly addictive, and it costs lots of money when you play for prolonged periods of time. given that, it makes people irrationally lose their savings and should therefore be banned, like drugs.","gambling is addictive, and means that people lose more and more money, regardless of whether they initially succeed and want more money, or lose and have to make up for these losses",a1,Gambling should be banned,1
106,2163_2140,where gambling occurs you find organized crime and poverty,gambling cause addiction and always wants that you seek your money loses,a1,Gambling should be banned,1
107,2164_2158,"gambling is detrimental to the gambler. it causes a loss of financial stability in those who can least afford it, leads to addiction, and creates schisms within family.","gambling is extremily exciting in a way that makes other important activties, such as spending time with famlit and working, seem dull, thus hurting the gambler",a1,Gambling should be banned,1
108,2099_2165,"psychologically, gambling is highly addictive, and it costs lots of money when you play for prolonged periods of time. given that, it makes people irrationally lose their savings and should therefore be banned, like drugs.","legal gambling is much more accessible - almost all the adult population can take part in this, as apposed to only a fraction in illegal gambling. hence, the sum of harm is worst without banning.",a1,Gambling should be banned,1
109,2082_2129,"gambling is often a ""gateway drug"" to criminal activities, as it often exposes individuals to criminals indulging it as well as leaves them in great debt, desperate for money through whatever means possible.",gambling is addictive because of the sunken sum effect and so people are not rational when thay decide to gamble and we have the right to choose for them.,a1,Gambling should be banned,1
110,2096_2150,"people don't understand just how unlikely it is to win, the odds are so low that our brain can't comprehend it, which makes people think that their chances of winning are higher.","gambling is a drug. it overwhelms people's ability to resist. beyond that, the whole thing is false advertising. the odds are so stacked against people but the gambling houses make wealth seem assured.",a2,Gambling should be banned,1
111,2142_2087,"gambling create a mindset that prefer luck on skills, it will make gamblers life harder to get out of it. they have the habit to look the easy way",gambling hurts not only the gambler but also their families when money that could have gone to helping them is spent recklessly instead.,a2,Gambling should be banned,1
112,2102_2166,"gambling is highly addictive, causing a rush of adrenaline with every game, and might even cause people to put more and more of their money in risk, eventually destroying their life","gambling causes addiction, and businesses have an incentive to have as many costumers return as often as possible; therefore, the industry is by nature actively addict people and make them lose control.",a1,Gambling should be banned,1
113,2102_2105,"gambling is highly addictive, causing a rush of adrenaline with every game, and might even cause people to put more and more of their money in risk, eventually destroying their life","it brings people to enormous debts because gambling is made so that it is unlikely for the participant to win, which makes them suffer and fail to continue living a healthy life.",a1,Gambling should be banned,1
114,2167_2168,we should ban gambling because it is reckless and antisocial and has no place in society.,gambling is extremely addictive. it will make people give up they're entire money leading to bankrubcy leading to depresion leading to suicide.,a2,Gambling should be banned,1
115,2169_2133,"gambling causes crime to exist around it - loan sharks, etc. gambling needs to be banned to solve the root of those issues",the addictive character of the games eliminates the choice of avoiding it due to its very likely bad outcomes.,a1,Gambling should be banned,1
116,2170_2118,it is highly addictive to the extent that people can't control themselves and their actions and should be banned like alcoholism,we should ban gambling because no one who was well informed of the way gambling works would ever choose to gamble without emotional manipulation.,a1,Gambling should be banned,1
117,2171_2082,"gambling and lottery usually adress the poor, feeding them with false hopes to change there life by winning bets, thus making it harder for those in a hard place to turn there life ffor the better","gambling is often a ""gateway drug"" to criminal activities, as it often exposes individuals to criminals indulging it as well as leaves them in great debt, desperate for money through whatever means possible.",a2,Gambling should be banned,1
118,2098_2157,"irregardlessly of choice, because of the addictive nature of those places many people are going to lose all of their money, and create much more harms to them and to the society that supports them",the addictive manner of gambling may affect the ability of one to maintain a proper routine like having a regular job. this may affect third-parties like the gamers family.,a2,Gambling should be banned,1
119,2172_2137,gambling should be banned because gambling parlors tend to lead to more crime and decreased investment in the surrounding area.,"gambling can be highly addictive, therefore people lose their ability to choose how to spend their money",a1,Gambling should be banned,1
120,2127_2161,"in many cases it destroys the communities around the casinos, making crime the only option for many people there","gambling is not an activity one does out of free will, but rather out of addiction",a1,Gambling should be banned,1
121,2173_2174,many religious communities view gambling as a sin; banning it would help these communities feel as an important part of society.,"we should ban gambling because it encourages cheating in any event that people bet on, which leads to fraud.",a2,Gambling should be banned,1
122,2168_2119,gambling is extremely addictive. it will make people give up they're entire money leading to bankrubcy leading to depresion leading to suicide.,"people are overly positive about chances of success, which makes gambling irrational, hence their choise to gamble is wrong.",a1,Gambling should be banned,1
123,2122_2108,"gambling is a wast of money, from the first dollar. the government should help people invest their money in beneficial channels and not wast it for nothing.","since casinos are often on indigenous people's land, they bring crime and alcoholism into areas that already are vulnerable to those problems.",a2,Gambling should be banned,1
124,2152_2133,"casinos bring crime and prostitution, which is bad for the surrounding area.",the addictive character of the games eliminates the choice of avoiding it due to its very likely bad outcomes.,a1,Gambling should be banned,1
125,2153_2081,there is a market failure that causes people to gamble and waste money on zero sum games and the government should break this and prevent dead loss by creating more productive alternatives like equivalent entertainment,"legal gambling let the population believe that gambling is fine. given this, it is hard to cross the line when gambling start to be harmful. hence, people are much more likely to practice harmful gambling.",a2,Gambling should be banned,1
126,2150_2175,"gambling is a drug. it overwhelms people's ability to resist. beyond that, the whole thing is false advertising. the odds are so stacked against people but the gambling houses make wealth seem assured.",gambling takes advantage of people's irrationality and optimism bias to get them to spend money that any rational computation can tell them is not a worthy risk and this is illegitimate,a1,Gambling should be banned,1
127,2147_2084,"gambling is addictive, when the state keeps it legal and collects taxes it encourages addicting behavior in it's citizens.",gambling is an addiction similar to hard drugs that we ban for people's protection.,a1,Gambling should be banned,1
128,2161_2176,"gambling is not an activity one does out of free will, but rather out of addiction","gambling is very addictive, people may start to gamble willingly but slowly they lose control.",a2,Gambling should be banned,1
